trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
72,0.5,1.0,99.19014099997003,,99.17453349998686,99.19014099997003,99.68925799999852,99.68925799999852,99.70540910004638,100.00430150004104,100.57059250003658,right,1.0,1,1,0.8761262999614701,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
73,0.5,1.0,100.5862296000123,,100.57067529996857,100.5862296000123,101.0850792999845,101.0850792999845,101.0850792999845,101.38444140006322,101.88333340000827,left,-1.0,1,1,0.7925938999978825,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
74,0.5,1.0,101.89991879998706,,101.88341530004982,101.89991879998706,102.39857650001068,102.39857650001068,102.41460710007232,102.71430670004338,103.2464151000604,left,-1.0,1,1,0.8363190999953076,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
75,0.5,1.0,103.26197210000828,,103.24650050001219,103.26197210000828,103.76062339998316,103.76062339998316,103.76062339998316,104.06010520004202,104.5100942000281,right,1.0,0,0,0.7466992000117898,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
76,0.5,1.5,104.52588810003363,,104.51017919997685,104.52588810003363,105.02400940004736,105.02400940004736,105.04104160005227,105.32333330006804,105.88974000001326,left,-1.5,1,1,0.8571389000862837,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
77,0.5,1.5,105.90604230004828,,105.88984499999788,105.90604230004828,106.40318630007096,106.40318630007096,106.42070600006264,106.70268600003328,107.38545870000962,left,-1.5,1,1,0.9808432999998331,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
78,0.5,1.5,107.40100000007078,,107.3855395000428,107.40100000007078,107.89993120008148,107.89993120008148,107.9168798000319,108.19902369996998,108.58223549998365,right,1.5,0,0,0.6648175000445917,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
79,0.5,2.0,108.59755669999868,,108.58235110004898,108.59755669999868,109.09629919996951,109.09629919996951,109.09629919996951,109.39576810004655,109.69506559998263,right,2.0,1,1,0.5940217999741435,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
80,0.5,2.0,109.71190760005265,,109.69514600001276,109.71190760005265,110.21054160001222,110.21054160001222,110.22911970003042,110.50933370005805,110.92644309997559,left,-2.0,1,1,0.7124548999127001,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
81,0.5,2.0,110.94103470002301,,110.92654810007662,110.94103470002301,111.43987840006594,111.43987840006594,111.43987840006594,111.7389282999793,112.10573409998324,right,2.0,0,0,0.6559646000387147,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
82,0.5,2.5,112.12140880001243,,112.10581760003697,112.12140880001243,112.6208203000715,112.6208203000715,112.63692429999355,112.93575910001528,113.21988170000259,right,2.5,1,1,0.5973246999783441,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
